,Q,A,A1,A2,A3,Hint0,Hint1,Why
10,請問郎世寧的生卒年(西元)？,1688~1766,2688~2766,688~766,1900~1971,,,郎世寧，原名朱塞佩·伽斯底里奧內（義大利語：Giuseppe Castiglione，1688年7月19日－1766年7月16日），義大利人，天主教耶穌會傳教士及中國宮廷畫家，寫實畫風紀錄了清朝初期的中國宮廷人物與景色。
11,在康雍乾三代的禁教政策下，傳教士郎世寧反而極受禮遇的原因是？,他是宮廷畫師,他是宮廷傳教士,他是宮廷太監,他是宮廷樂師,,,郎世寧雖然最初以傳教士的身份來中國，但在康熙、雍正、乾隆三代對基督宗教的壓制中，他並沒有因此被逐出紫禁城，反而極受禮遇，有很大一部分的原因是他在清朝宮中擁有宮廷畫師的職位，儘管他本人始終不曾忘記傳教的想法，然而在禁教政策之下，凡是有任何企圖傳教的舉止，都會被禁止，使得他終生未能實現傳教的願望。
12,一種以膠為媒介混合天然礦物，與水調和後，用畫筆在紙、絹、麻或木板上的一種作畫型式稱做？,膠彩畫,油畫,水彩畫,粉彩畫,,,油畫指用乾的油調配的顏料所作的繪畫，水彩則是用水調和透明顏料作畫的一種繪畫方法。
13,畫面中可以有許多分段焦點，因此可以畫非常長的長卷或立軸，視域無限擴大的是何種透視技法？,散點透視,交點透視,空氣透視,折線透視,,,一個畫面中可以有許多焦點，如同一邊走一邊看，每一段可以有一個焦點，因此可以畫非常長的長卷或立軸，視域範圍無限擴大的是散點透視技法。
14,以景物中的左右上下邊線與假設延長線，相交於畫面深處消失的一點，營造出景觀深入的感覺稱做？,交點透視,空氣透視,散點透視,折線透視,,,以景物中的天花板、牆角、地磚、壁柱連線、桌椅左右邊線、窗框上下邊線或斜角陰影邊線等的假設延長線，相交於畫面深處消失的一點，營造出景觀深入的感覺稱做交點透視。
15,又稱作重彩畫、岩彩畫、日本畫、東洋畫，是一種以膠為素材媒介的作畫型式稱做？,膠彩畫,油畫,水彩畫,粉彩畫,,,油畫指用乾的油調配的顏料所作的繪畫，水彩則是用水調和透明顏料作畫的一種繪畫方法。
16,以明暗的相異性質彼此鄰接，能發揮各自的特性而成為對照狀態，利用這種性質來設計的技法就叫？,明暗法,黑白法,光影法,對照法,,,明暗是相異性質地呈現在人的視覺裏，其鄰接的地方能互相發揮各自的特性而成為對照的狀態，利用這種特性與狀態來設計並製作的技法就叫「明暗法」。
17,郎世寧的作品中，下列何者並沒有出現馬？,花底仙尨圖,八駿圖,乾隆大閱圖,百駿圖,,,花底仙尨圖畫的是一隻小狗。八駿圖、百駿圖與乾隆大閱圖中均可見到英姿生動的駿馬。
18,在八駿圖中，出現了幾匹馬？,八匹,九匹,十匹,七匹,,,八駿圖中總共出現八匹馬，不是七匹、不是九匹也不是十匹。
19,在畫開泰圖中，其中一頭羔羊跪乳，象徵著甚麼？,哺乳孝禮,三陽開泰,羊年行大運,揚揚得意,,,中國自古以羔羊跪乳為子女盡孝的象徵之一。
20,在雍正朝，郎世寧幫助了年希堯出版了哪一本著作？,視學,本草綱目,聖經,國朝院畫錄,,,年希堯為雍正時川陜總督年羹堯與皇貴妃年世蘭之兄長。在西方傳教士、著名宮廷畫家郎世寧的協助下，著有《視學》一書，介紹西方透視學。
21,郎世寧在中國停留長達五十一年，並沒有經歷過哪位皇帝的統治？,嘉慶,雍正,乾隆,康熙,,,郎世寧在康熙五十四年來到中國，在乾隆三十一年過世，因此並未經歷過嘉慶的年號。
22,郎世寧曾多次陪同乾隆出巡，出席重大場合，創作了一批極具歷史價值的藝術珍品，代表作如？,乾隆大閱圖,百駿圖,聚端圖,牡丹圖,,,百駿圖為郎世寧剛進入清宮時的巨幅作品，而聚端圖則是郎世寧在雍正年進獻給皇帝的圖。
23,郎世寧參與過下列哪一建築物的設計？,圓明園,紫禁城,萬里長城,天壇,,,雍正帝下令擴建圓明園，郎世寧參與圓明園的規劃設計，負責繪製園林建設的藍圖，也畫出不少裝飾殿堂的作品。
24,郎世寧來華五十一年間，最受到哪位皇帝榮寵？,乾隆,康熙,雍正,順治,,,乾隆二十三年（1758年），乾隆帝曾為郎世寧舉辦七十歲大壽，證明他在宮中頗受禮遇及恩寵。
25,三個字、跟馬有關、郎世寧畫的、在一棵樹下？,八駿圖,百駿圖,十駿馬圖冊,乾隆大閱圖,,,八駿圖中八匹駿馬圍繞一棵樹或站或臥，雍容優雅的姿態工巧生動。
26,郎世寧的哪一幅畫作，以瓶內植插罕見並蒂連理的牡丹，象徵祥瑞吉兆，平安富貴之意？,畫瓶花,聚瑞圖,牡丹圖,花開並蒂圖,,,郎世寧的畫瓶花，以色彩深淺來表現層次感，葉面正反向背，葉脈勾勒寫實，極富立體感。青花牽牛花紋折方瓶，兩側貼飾龍首雙耳，以高光強調瓷器晶瑩圓潤的質感，敷色極具光影效果。瓶內植插罕見並蒂連理的牡丹，象徵祥瑞吉兆，平安富貴之意。
27,下列哪一幅是郎世寧作品中有最多匹馬的畫作？,百駿圖,八駿圖,十駿馬圖冊,萬馬奔騰圖,,,百駿圖是郎世寧畫作中有最多匹馬的巨幅作品。
28,郎世寧在西元1715年到中國，並受到當時的皇帝召見進宮中。請問是哪一位皇帝召見他？,康熙,順治,雍正,乾隆,,,西元1715年是康熙五十四年，故郎世寧來到中國時是由康熙召見。
29,郎世寧的哪一幅畫作，瓶中插著並蒂蓮花、蓮蓬、與結了雙穗的稻穗？,聚瑞圖,畫瓶花,牡丹圖,蓮穗圖,,,雍正三年郎世寧獻給雍正皇帝生日所畫的聚瑞圖，描繪一只汝窑青瓷弦紋瓶，瓶中插著並蒂蓮花、蓮蓬、與結了雙穗的稻穗，象徵著聚集各種吉祥。
